gene_symbol	hgnc_id	mgi_id	disorder_id	disorder_name	IMPC_pipeline	IMPC_phenotypes	HPO_phenotypes	PhenoDigm_match	max_score
A1BG	HGNC:5	MGI:2152878	-	-	no	no	no	no	NA
A1CF	HGNC:24086	MGI:1917115	-	-	yes	no	no	no	NA
A2M	HGNC:7	MGI:2449119	-	-	yes	no	no	no	NA
A3GALT2	HGNC:30005	MGI:2685279	-	-	yes	no	no	no	NA
A4GALT	HGNC:18149	MGI:3512453	OMIM:111400	Blood Group, P1Pk System	yes	no	no	no	NA
A4GNT	HGNC:17968	MGI:2143261	-	-	no	no	no	no	NA
AAAS	HGNC:13666	MGI:2443767	OMIM:231550|ORPHA:869	Achalasia-Addisonianism-Alacrima Syndrome|Triple A Syndrome	no	no	no	no	NA
AACS	HGNC:21298	MGI:1926144	-	-	yes	no	no	no	NA
AADAC	HGNC:17	MGI:1915008	-	-	yes	no	no	no	NA
AADACL2	HGNC:24427	MGI:3646333	-	-	yes	no	no	no	NA
AADACL3	HGNC:32037	MGI:2685281	-	-	no	no	no	no	NA
AADAT	HGNC:17929	MGI:1345167	-	-	no	no	no	no	NA
AAGAB	HGNC:25662	MGI:1914189	OMIM:148600|ORPHA:79501	Palmoplantar Keratoderma, Punctate Type Ia|Punctate Palmoplantar Keratoderma Type 1	no	no	no	no	NA
AAK1	HGNC:19679	MGI:1098687	-	-	yes	no	no	no	NA
AAMDC	HGNC:30205	MGI:1913523	-	-	no	no	no	no	NA
AAMP	HGNC:18	MGI:107809	-	-	yes	no	no	no	NA
AANAT	HGNC:19	MGI:1328365	-	-	yes	no	no	no	NA
AAR2	HGNC:15886	MGI:1915545	-	-	no	no	no	no	NA
AARD	HGNC:33842	MGI:2181621	-	-	yes	no	no	no	NA
AARS1	HGNC:20	MGI:2384560	OMIM:619661|OMIM:613287|OMIM:616339|OMIM:619691|ORPHA:228174|ORPHA:442835|ORPHA:33364	Leukoencephalopathy, Hereditary Diffuse, With Spheroids 2|Charcot-Marie-Tooth Disease, Axonal, Type 2N|Developmental And Epileptic Encephalopathy 29|Trichothiodystrophy 8, Nonphotosensitive|Autosomal Dominant Charcot-Marie-Tooth Disease Type 2N|Non-Specific Early-Onset Epileptic Encephalopathy|Trichothiodystrophy	no	no	no	no	NA
AARS2	HGNC:21022	MGI:2681839	OMIM:614096|OMIM:615889|ORPHA:319504|ORPHA:313808|ORPHA:99853	Combined Oxidative Phosphorylation Deficiency 8|Leukoencephalopathy, Progressive, With Ovarian Failure|Combined Oxidative Phosphorylation Defect Type 8|Hereditary Diffuse Leukoencephalopathy With Axonal Spheroids And Pigmented Glia|Ovarioleukodystrophy	yes	yes	yes	yes	27.865
AARSD1	HGNC:28417	MGI:1916934	-	-	no	no	no	no	NA
AASDH	HGNC:23993	MGI:2442517	-	-	yes	no	no	no	NA
AASDHPPT	HGNC:14235	MGI:1914868	-	-	yes	no	no	no	NA
AASS	HGNC:17366	MGI:1353573	OMIM:238700|ORPHA:3124|ORPHA:2203	Hyperlysinemia, Type I|Saccharopinuria|Hyperlysinemia	yes	yes	yes	yes	13.33
AATF	HGNC:19235	MGI:1929608	-	-	yes	no	no	no	NA
AATK	HGNC:21	MGI:1197518	-	-	no	no	no	no	NA
ABAT	HGNC:23	MGI:2443582	OMIM:613163|ORPHA:2066	Gaba-Transaminase Deficiency|Gamma-Aminobutyric Acid Transaminase Deficiency	yes	yes	yes	no	NA
ABCA1	HGNC:29	MGI:99607	OMIM:604091|OMIM:205400|ORPHA:425|ORPHA:31150	Hypoalphalipoproteinemia, Primary, 1|Tangier Disease|Apolipoprotein A-I Deficiency	yes	yes	yes	no	NA
ABCA12	HGNC:14637	MGI:2676312	OMIM:601277|OMIM:242500|ORPHA:313|ORPHA:457|ORPHA:79394	Ichthyosis, Congenital, Autosomal Recessive 4A|Ichthyosis, Congenital, Autosomal Recessive 4B|Lamellar Ichthyosis|Harlequin Ichthyosis|Congenital Ichthyosiform Erythroderma	yes	yes	yes	yes	44.35
ABCA13	HGNC:14638	MGI:2388707	-	-	yes	no	no	no	NA
ABCA2	HGNC:32	MGI:99606	OMIM:618808|ORPHA:88616	Intellectual Developmental Disorder With Poor Growth And With Or Without Seizures Or Ataxia|Autosomal Recessive Non-Syndromic Intellectual Disability	yes	yes	yes	yes	40.86
ABCA3	HGNC:33	MGI:1351617	OMIM:610921|ORPHA:2032|ORPHA:440402|ORPHA:70587	Surfactant Metabolism Dysfunction, Pulmonary, 3|Idiopathic Pulmonary Fibrosis|Interstitial Lung Disease Due To Abca3 Deficiency|Infant Acute Respiratory Distress Syndrome	yes	yes	yes	yes	20.61
ABCA4	HGNC:34	MGI:109424	OMIM:604116|OMIM:248200|OMIM:601718|OMIM:153800|ORPHA:827|ORPHA:791|ORPHA:1872|ORPHA:279	Cone-Rod Dystrophy 3|Stargardt Disease 1|Retinitis Pigmentosa 19|Macular Degeneration, Age-Related, 2|Stargardt Disease|Retinitis Pigmentosa|Cone Rod Dystrophy|Non Rare In Europe: Age-Related Macular Degeneration	yes	yes	yes	no	NA
ABCA5	HGNC:35	MGI:2386607	OMIM:135400|ORPHA:2026	Hypertrichosis, Congenital Generalized, With Or Without Gingival Hyperplasia|Gingival Fibromatosis-Hypertrichosis Syndrome	yes	yes	yes	no	NA
ABCA6	HGNC:36	MGI:1923434	-	-	yes	no	no	no	NA
ABCA7	HGNC:37	MGI:1351646	OMIM:608907|ORPHA:1020|ORPHA:238616	Alzheimer Disease 9, Susceptibility To|Early-Onset Autosomal Dominant Alzheimer Disease|Non Rare In Europe: Alzheimer Disease	yes	yes	yes	no	NA
ABCA9	HGNC:39	MGI:2386796	-	-	yes	no	no	no	NA
ABCB10	HGNC:41	MGI:1860508	-	-	no	no	no	no	NA
ABCB11	HGNC:42	MGI:1351619	OMIM:605479|OMIM:601847|ORPHA:69665|ORPHA:79304|ORPHA:99961	Cholestasis, Benign Recurrent Intrahepatic, 2|Cholestasis, Progressive Familial Intrahepatic, 2|Intrahepatic Cholestasis Of Pregnancy|Progressive Familial Intrahepatic Cholestasis Type 2|Benign Recurrent Intrahepatic Cholestasis Type 2	yes	yes	yes	yes	53.475
