disorder_id	disorder_name	gene_symbol	description	score	query_phenotype	match_phenotype
OMIM:100300	Adams-Oliver Syndrome 1	ARHGAP31	Arhgap31<em1(IMPC)Bay> het embryo	12.265	HP:0002084	MP:0001697
OMIM:100300	Adams-Oliver Syndrome 1	ARHGAP31	Arhgap31<em1(IMPC)Bay> hom embryo	21.095	HP:0000822,HP:0001650,HP:0002092,HP:0001642	MP:0001914
OMIM:101400	Saethre-Chotzen Syndrome	TWIST1	Twist1<em1(IMPC)Rbrc> het early	41.125	HP:0001822,HP:0001159,HP:0010104,HP:0001770,HP:0009951,HP:0000327,HP:0011323,HP:0000294,HP:0002974,HP:0002644,HP:0009968,HP:0004209,HP:0001156	MP:0000572,MP:0002110,MP:0005270,MP:0000579,MP:0004509
OMIM:102530	Spermatogenic Failure 6	SPATA16	Spata16<em1(IMPC)Marc> hom early	60.83	HP:0003251,HP:0031136,HP:0012205	MP:0001925,MP:0001926
OMIM:103580	Pseudohypoparathyroidism, Type Ia	GNAS	Gnas<tm1Jop> hom early	16.015	HP:0001513	MP:0003960
OMIM:104200	Alport Syndrome 3A, Autosomal Dominant	COL4A3	Col4a3<tm1b(EUCOMM)Wtsi> hom early	39.2	HP:0000083,HP:0030034,HP:0000093,HP:0000099,HP:0002907,HP:0004722,HP:0003774,HP:0000121,HP:0000100,HP:0000790,HP:0002148,HP:0002157,HP:0000123,HP:0001134,HP:0001142	MP:0001319,MP:0008805,MP:0003917
OMIM:104300	Alzheimer Disease, Familial, 1	APP	App<tm1b(KOMP)Wtsi> het early	23.04	HP:0410054	MP:0005565,MP:0000194
OMIM:104300	Alzheimer Disease, Familial, 1	PLAU	Plau<tm1b(EUCOMM)Wtsi> hom early	31.905	HP:0000726	MP:0001417
OMIM:104300	Alzheimer Disease, Familial, 1	NOS3	Nos3<em1(IMPC)Mbp> hom early	19.335	HP:0410054	MP:0005565,MP:0000198
OMIM:104530	Amelogenesis Imperfecta, Type Ia	LAMB3	Lamb3<tm1b(KOMP)Wtsi> hom early	70.08	HP:0009722,HP:0000679,HP:0006311,HP:0006297,HP:0000705	MP:0002100
OMIM:105210	Amyloidosis, Hereditary, Transthyretin-Related	TTR	Ttr<em1(IMPC)H> hom early	25.495	HP:0001251,HP:0002070,HP:0002078	MP:0001402
OMIM:105830	Angelman Syndrome	UBE3A	Ube3a<em1(IMPC)Hmgu> het early	29.03	HP:0000752,HP:0002136,HP:0001251,HP:0007240,HP:0000749	MP:0001402,MP:0011940
OMIM:105830	Angelman Syndrome	UBE3A	Ube3a<em1(IMPC)Hmgu> hom early	44.17	HP:0000752,HP:0002136,HP:0001251,HP:0007240,HP:0000749	MP:0001399,MP:0001402,MP:0011940,MP:0002757
OMIM:106210	Aniridia 1	PAX6	Pax6<em1(IMPC)Mbp> het early	61.17	HP:0007750,HP:0010923,HP:0000518,HP:0000609,HP:0001083,HP:0200020,HP:0007676,HP:0009918,HP:0033743,HP:0007759,HP:0000526,HP:0011496	MP:0001293,MP:0001297,MP:0001314,MP:0005542
OMIM:106210	Aniridia 1	PAX6	Pax6<em1(IMPC)Mbp> het embryo	27.335	HP:0007750,HP:0000609,HP:0007676,HP:0033743,HP:0000526	MP:0001297
OMIM:106210	Aniridia 1	PAX6	Pax6<em1(IMPC)Mbp> hom embryo	27.18	HP:0007750,HP:0000609,HP:0007676,HP:0033743,HP:0000526	MP:0001293
OMIM:106600	Tooth Agenesis, Selective, 1	MSX1	Msx1<tm1b(KOMP)Wtsi> hom embryo	53.78	HP:0000668	MP:0000111
OMIM:108720	Atelosteogenesis, Type I	FLNB	Flnb<tm1b(KOMP)Wtsi> het early	16.15	HP:0002949	MP:0000063
OMIM:108720	Atelosteogenesis, Type I	FLNB	Flnb<tm1b(KOMP)Wtsi> hom early	22.03	HP:0003811,HP:0003826	MP:0011100
OMIM:108985	Sveinsson Chorioretinal Atrophy	TEAD1	Tead1<tm1a(KOMP)Wtsi> het early	59.76	HP:0007950,HP:0000483	MP:0005543,MP:0001325
OMIM:108985	Sveinsson Chorioretinal Atrophy	TEAD1	Tead1<tm1b(KOMP)Wtsi> het early	44.645	HP:0000483	MP:0011960,MP:0005543
OMIM:112240	Cole-Carpenter Syndrome 1	P4HB	P4hb<tm1b(KOMP)Wtsi> hom embryo	18.08	HP:0004322	MP:0003984
